pad,sekisan,au,ti,so3,so4,ph,hiju
3,43060,10.2,4.2,43.1,33,7.5,13.6
3,59170,9.3,3.3,34.2,38.2,7.5,13
3,21554,10,4,41.1,27,7.7,12.6
3,42890,9.9,3.8,39.3,29.7,7.6,13.4
3,63170,10.3,3.3,38.7,32.6,7.7,14.5
3,86799,8.8,2.9,39.6,36.4,7.8,14.4
3,19263,10.3,4,37.1,27.8,7.6,12.9
3,44530,10.5,3.6,38.7,33.5,7.7,13.8
3,11590,10,4.1,37.1,26.7,7.7,12.4
3,34708,9.5,3.5,40.2,29.7,7.6,13
3,57450,8.5,3.2,35.4,32.7,7.7,13.4
3,12676,9.4,4.4,40.8,27.3,7.6,12.9
3,40464,9,3.7,39.2,31.9,7.6,13.5
3,8698,9.9,4.5,39.1,27.3,7.6,12.8
3,59170,10.5,3.9,40.4,28.4,7.7,13.8
3,8107,10,4.5,40.6,29.1,7.6,13.4
3,30481,9.8,4,41.2,31.7,8,13.7
3,47400,10.1,3.6,38.7,32.1,7.9,13.8
3,73651,11.5,3.2,43.4,38.6,7.7,15.8
3,9701,11.3,4.6,35.4,26.9,7.7,13.2
3,21176,10.7,4.1,36.4,32,7.7,13.2
3,9205,9.5,4.7,38,26.9,7.8,12.9
3,18814,10.6,4,38.7,31,7.6,13.7
3,30051,9.9,4,39.8,32.7,7.6,14.1
3,8586,9.7,4.7,38.1,25.4,7.9,12.8
3,570,10.5,4.9,33,23.1,7.7,12.9
3,10809,9.6,4.5,34.8,27.4,7.7,12.8
3,18256,9.6,4.3,36.6,28.3,7.6,13
3,0,9.7,4.8,34.4,22.8,7.6,12.4
3,3284,10.3,4.6,35.1,24.4,7.6,12.8
3,6535,9.8,4.5,33.9,23.6,7.6,12.6
3,16600,9.7,4.2,35,27.5,7.7,12.9
3,23253,8.9,4.3,37.9,28.8,7.6,13.4
3,6670,8.5,4.4,35.5,24.6,7.6,12.2
3,15370,10.3,4.5,39.6,28.8,7.6,13.7
3,26600,10.3,4.3,37,30.5,7.5,14
3,4916.93,10.9,4.7,37,24.9,7.8,13.2
3,12026,10.4,4.5,39.6,25.9,7.8,13.3
4,12822,10.4,4.2,30,37.2,7.6,12.2
4,27510,10.5,4.4,36.3,36,7.6,13.1
4,5591,10.7,4.6,39.3,27.7,7.7,12.8
4,5386,10.7,4.6,36.5,27.9,7.7,12.7
4,38584,9.7,4.2,26.8,40.4,7.5,13.3
4,13500,9.9,4.6,34.2,33.6,7.7,13.1
4,13716,10.1,4.2,34.8,31,7.7,13
4,32330,11.6,4.3,28.2,45.1,7.6,14.2
4,17443,9.7,4.4,32.1,33.7,7.6,12.9
4,47000,10,4,22.2,52.1,7.6,14.4
4,37800,10.8,4.4,28.1,47.8,8,14.6
4,24870,10.1,4.5,32.9,39.9,7.5,13.9
4,14187,10.1,4.6,29.4,39,7.5,13.4
4,34000,11.1,4.5,25.9,54.8,7.6,14.9
4,27510,11.5,4.6,29.5,42.1,7.8,14.4
4,18500,9.9,4.2,29.6,41,7.8,13.6
4,28030,10.2,4.4,30.8,42.9,8,13.8
4,27699,11.6,4.6,29.3,42.8,7.8,14.1
4,16850,11.2,4.6,29.8,40.6,7.6,13.6
4,24464,11.8,4.6,32.7,35.8,7.6,14
4,200,10.9,4.6,35.5,30.5,7.7,12.8
4,29707,10,4.6,33.1,35.4,7.7,13.6
4,36510,11.7,5.8,29,47.9,7.5,14.8
4,26749,9.5,4.5,23.4,43.7,7.7,13.3
4,15346,11.4,4.7,29.1,41.9,7.7,13.8
4,0,9.6,4.9,37.1,26.4,7.7,12.6
4,20979,11.2,5,25.2,50.6,7.6,14.8
4,8607,10.5,4.7,22.6,43.5,7.6,13.5
4,14019,11.4,4.7,28,41.4,7.6,13.7
4,0,10.7,4.7,33.7,26,7.6,13.1
4,26405,9.9,4.7,31.6,31.7,7.6,13.4
4,59358,8.8,4.5,25.4,42,7.6,14.1
4,4500,10.9,4.6,29.8,33.3,7.7,13.1
4,3397,11.6,5.4,32.4,40.4,7.6,14.6
4,0,9.2,4.6,36.4,24.6,7.7,12.5
4,0,10,4.5,33.9,28.9,7.7,12.9
4,955,10.1,4.4,33.3,30.1,7.7,13
4,0,9.5,4.7,36.7,24.6,7.6,12.3
4,800,10.2,4.7,33.7,28.9,7.6,12.6
4,4800,10.4,4.9,27.9,35.6,7.4,13.1
4,9337,10.6,4.7,25,39.5,7.7,13.4
4,0,9.8,4.7,35.5,25.2,7.7,12.4
4,2500,10.6,4.7,33.5,29.4,7.6,12.9
